student_id,study_hours,attendance_pct,previous_grade,assignments_completed,program,passed
1043,4.3,82.7,9.0,3,Business,1
1044,6.6,86.1,6.7,1,Design,1
1045,6.3,98.2,6.1,0,Design,0
1046,6.5,61.4,6.3,10,Design,1
1047,8.2,140.0,7.2,0,Design,0
1048,6.6,87.9,4.4,9,Engineering,0
1049,7.7,66.2,6.7,0,Enginering,1
1050,6.2,96.8,6.0,8,Design,1
1051,6.7,85.7,8.7,3,AI,1
1052,7.6,90.5,6.3,5,Engineering,0
1053,2.4,76.3,8.5,3,Engineering,1
1054,5.2,90.1,5.2,5,Business,1
1055,4.8,92.7,7.2,4,Business,1
1056,4.4,84.3,6.9,5,Business,1
1057,5.3,84.3,5.5,4,AI,0
1058,9.7,84.7,6.7,5,Design,1
1059,3.8,73.4,8.0,9,Business,1
1060,8.4,80.5,6.1,4,Engineering,1
1061,1.8,80.5,4.5,3,Engineering,0
1062,5.2,85.8,6.5,1,Engineering,0
1063,6.4,92.0,5.4,3,Business,1
1064,7.5,71.4,6.1,1,Business,0
1065,7.8,80.7,6.4,2,Engineering,1
1066,8.0,96.8,4.5,10,Engineering,1
1067,5.1,74.6,4.6,0,Business,0
1068,4.8,73.8,7.1,5,Engineering,0
1069,8.1,84.0,5.9,9,AI,1
1070,5.5,90.4,3.4,10,Engineering,0
1071,,82.1,7.4,1,AI,1
1072,3.2,95.3,6.8,1,AI,1
1073,3.7,90.6,,4,Design,0
1074,7.2,90.4,4.9,6,AI,1
1075,6.4,87.5,7.5,10,AI,1
1076,7.7,100.0,,2,AI,1
1077,4.9,79.9,9.4,1,Business,1
1078,6.4,62.0,7.0,2,Engineering,0
1079,7.6,98.0,7.0,9,AI,1
1080,5.2,77.4,6.3,0,Design,0
1081,7.1,83.1,7.5,4,Engineering,1
1082,4.3,95.1,7.3,1,AI,1
1083,5.1,66.0,8.0,1,AI,0
1084,5.0,69.5,5.9,10,Engineering,1
1085,3.0,66.0,6.0,0,Engineering,0
1086,7.2,74.1,,3,Design,1
1087,4.8,86.4,7.4,10,Engineering,1
1088,6.0,87.2,8.3,6,AI,1
1089,7.2,84.8,5.9,0,Business,0
1090,7.1,67.9,6.0,5,Engineering,0
1091,7.7,58.9,6.9,10,Business,0
1092,,82.5,6.2,4,Engineering,1
1093,4.9,77.3,7.6,5,Design,1
1094,5.8,86.6,3.8,5,engineering,0
1095,1.8,89.0,5.5,7,Business,0
1096,2.4,83.4,5.6,2,Business,0
1097,2.7,89.6,3.7,9,AI,1
1098,3.5,84.3,5.3,10,AI,0
1099,7.0,87.3,5.4,1,Engineering,1
1100,3.7,75.0,6.3,9,AI,0
1101,5.1,80.2,7.8,8,AI,1
1102,9.2,84.0,6.2,8,AI,1
1103,5.1,90.2,5.3,4,AI,1
1104,7.8,78.1,6.4,5,Engineering,1
1105,3.7,87.2,7.8,9,Business,1
1106,5.5,79.3,5.3,1,Engineering,0
1107,3.6,80.8,5.4,9,AI,0
1108,5.2,90.3,7.2,10,Design,1
1109,8.1,62.1,6.2,7,Business,1
1110,1.7,69.0,7.3,3,Business,0
1111,7.1,67.2,6.5,6,Engineering,1
1112,6.6,58.7,7.3,0,Engineering,1
1113,4.5,75.2,5.3,10,Engineering,1
1114,2.4,89.5,6.5,3,AI,1
1115,6.2,79.2,6.2,0,AI,0
1116,4.7,84.0,5.0,8,Design,1
1117,6.6,92.9,4.6,7,Business,1
1118,6.1,140.0,7.3,6,Engineering,1
1119,10.0,81.3,6.1,0,Design,0
1120,5.4,95.5,5.3,8,Design,0
1121,3.4,82.9,6.4,7,Engineering,1
1122,6.4,73.6,7.9,8,Engineering,1
1123,6.5,76.1,3.8,9,AI,0
1124,9.4,67.2,4.7,2,AI,0
1125,,73.1,5.4,2,Design,0
1126,6.9,78.4,8.3,10,Business,1
1127,9.7,90.0,6.8,5,Business,0
1128,3.0,99.2,7.4,4,Business,1
1129,4.4,68.2,5.1,3,Engineering,1
1130,3.7,85.9,5.2,7,Engineering,0
1131,5.0,71.6,7.0,8,Design,0
1132,2.6,86.7,6.6,0,Business,0
1133,7.6,80.7,7.2,6,Business,1
1134,5.4,63.7,6.3,10,Design,1
1135,2.3,91.3,6.8,3,Business,0
1136,3.5,75.9,6.7,3,Design,0
1137,6.8,76.7,7.4,9,Design,1
1138,8.1,71.3,7.5,0,AI,1
1139,11.0,75.5,4.6,4,AI,1
1140,13.3,86.3,3.8,5,AI,1
1141,7.0,80.1,7.7,8,Engineering,1
1142,3.5,85.3,7.9,1,Design,1
1143,-2.0,85.6,5.3,4,AI,0
1144,6.7,95.2,4.3,1,Engineering,1
1145,4.0,78.6,6.6,8,Business,0
1146,5.0,67.2,7.6,6,Business,1
1147,4.5,92.7,8.7,5,Engineering,1
1148,5.6,78.7,7.1,4,AI,0
1149,8.7,93.1,6.1,1,AI,1
1150,,85.8,5.4,10,Design,1
1151,5.6,80.7,6.5,7,AI,0
1152,,85.5,6.1,3,Design,0
1153,1.8,100.0,5.3,4,AI,0
1154,4.8,100.0,9.0,7,AI,1
1155,5.9,82.7,8.6,7,AI,1
1156,10.4,83.6,7.9,5,Business,1
1157,6.3,92.8,,3,AI,0
1158,8.5,73.5,7.5,7,AI,1
1159,4.8,85.3,7.3,7,Enginering,1
1160,3.0,81.7,7.0,6,Business,1
1161,3.6,85.1,8.0,0,Business,1
1162,4.2,73.7,7.3,5,AI,1
1163,11.3,66.1,7.4,6,Business,1
1164,3.9,61.3,7.3,10,Business,0
1165,8.1,70.8,6.9,5,Design,1
1166,3.7,77.4,4.4,3,AI,1
1167,8.3,79.1,6.6,6,Engineering,1
1168,7.0,100.0,5.8,1,Engineering,1
1169,5.6,93.1,5.0,0,AI,0
1170,5.9,72.4,8.5,7,AI,1
1171,4.4,85.5,8.6,10,AI,0
1172,7.1,77.9,8.1,9,Design,1
1173,4.9,79.2,6.8,6,AI,1
1174,2.9,83.9,8.1,0,engineering,0
1175,2.8,88.2,6.5,10,Engineering,1
1176,6.4,78.6,6.7,4,Engineering,1
1177,9.9,92.6,5.2,3,Design,0
1178,6.4,70.6,7.0,9,Engineering,0
1179,5.7,82.1,6.6,8,AI,0
1180,6.7,100.0,4.9,8,Business,1
1181,9.3,84.2,6.4,3,Business,1
1182,6.5,96.3,6.4,10,Engineering,1
1183,5.0,82.9,8.7,4,Design,1
1184,8.8,87.8,7.6,5,Engineering,1
1185,7.1,81.4,6.5,8,AI,1
1186,9.8,80.3,6.8,7,Engineering,0
1187,6.5,74.2,6.6,1,Business,1
1188,2.9,86.3,6.3,3,Business,1
1189,2.6,73.5,5.2,3,Engineering,0
1190,10.1,88.7,6.3,10,Business,1
1191,-2.0,92.9,5.6,7,Business,1
1192,5.6,85.7,5.0,4,Design,1
1193,5.0,79.1,7.1,8,AI,0
1194,9.7,86.5,7.0,8,Business,1
1195,3.2,78.9,4.4,4,AI,0
1196,3.8,91.4,6.4,4,AI,0
1197,7.6,63.7,7.7,9,Engineering,1
1198,-2.0,78.6,7.8,6,Design,1
1199,6.0,62.1,7.7,1,Business,1
1200,5.6,67.0,6.5,7,Business,1
1201,6.8,95.6,5.5,6,Business,1
1202,,91.0,,5,Design,1
1203,6.2,74.8,6.9,7,Engineering,1
1204,7.6,67.0,7.0,9,Engineering,0
1205,0.9,52.4,8.0,3,Business,0
1206,5.9,76.6,7.8,4,Business,1
1207,3.9,100.0,6.3,2,Business,1
1208,3.0,86.3,5.0,7,Design,0
1209,3.8,76.4,6.1,4,Business,0
1210,5.2,86.7,6.8,3,Design,0
1211,8.3,66.4,6.3,7,Design,1
1212,2.7,79.0,5.8,4,Business,0
1213,6.1,83.0,6.8,5,Business,1
1214,4.8,81.1,5.9,4,Business,0
1215,5.2,89.9,5.7,2,AI,1
1216,8.5,85.4,6.9,1,AI,1
1217,7.3,88.7,6.0,9,Engineering,1
1218,9.3,75.1,,1,Business,1
1219,5.6,91.0,6.8,3,AI,1
1220,4.3,98.3,5.1,7,Design,0
1221,5.4,72.3,5.9,1,Engineering,0
1222,6.6,73.1,8.2,7,Business,1
1223,6.4,95.4,5.1,8,Engineering,1
1224,3.3,80.1,4.0,7,Engineering,0
1225,6.2,96.0,4.3,3,Design,0
1226,6.6,77.6,6.5,0,Design,1
1227,12.3,96.6,6.5,9,AI,1
1228,10.7,83.3,,3,Engineering,1
1229,3.9,84.6,8.0,8,Business,1
1230,5.3,97.6,3.3,2,Engineering,0
1231,2.3,78.4,7.0,1,Design,0
1232,4.5,72.6,8.4,8,AI,0
1233,6.8,77.5,5.1,10,AI,0
1234,9.0,86.5,,9,Design,1
1235,4.2,66.3,5.6,8,Design,1
1236,4.4,88.4,5.4,2,AI,0
1237,0.6,76.6,6.1,10,Engineering,1
1238,5.6,93.5,8.2,7,Engineering,1
1239,3.3,58.1,8.7,1,Business,0
1240,4.7,74.1,,1,Business,0
1241,3.8,65.1,8.8,9,AI,1
1242,5.8,73.7,6.5,3,Engineering,0
1243,1.6,84.5,8.6,8,Business,0
1244,2.3,80.2,6.4,1,Engineering,0
1245,11.3,79.5,6.7,3,Business,1
1246,2.8,80.4,6.9,3,Design,0
1247,3.3,84.0,10.0,3,Business,1
1248,10.6,71.9,7.5,7,AI,1
1249,13.3,89.1,5.7,10,Engineering,1
1250,3.1,88.6,7.7,10,Business,1
1251,5.1,85.9,6.1,8,Design,0
1252,6.9,87.6,5.9,2,Engineering,1
1253,10.3,85.0,7.6,10,Engineering,1
1254,3.5,100.0,6.5,5,engineering,1
1255,5.4,81.1,6.8,6,AI,1
1256,7.9,78.9,6.5,7,Design,1
1257,7.1,74.5,6.9,8,Engineering,1
1258,5.1,71.7,7.0,10,Business,1
1259,5.7,69.6,4.2,6,AI,1
1260,2.6,73.1,7.3,6,Engineering,1
1261,5.4,81.3,5.3,8,Business,0
1262,5.3,85.3,4.8,2,Design,0
1263,6.6,82.5,6.4,3,Engineering,1
1264,4.6,74.3,6.6,6,Design,1
1265,7.2,91.0,5.7,0,Business,1
1266,8.5,89.4,,3,Business,1
1267,6.4,80.4,4.9,7,Business,0
1268,6.9,75.5,6.0,10,AI,1
1269,6.1,87.5,5.8,5,Engineering,1
1270,6.0,83.9,6.4,4,Engineering,1
1271,4.2,67.5,6.8,4,Business,0
1272,6.8,81.3,5.3,7,Business,0
1273,5.8,84.6,7.4,5,Engineering,1
1274,11.2,73.0,6.6,0,AI,1
1275,9.9,83.9,4.2,5,Design,0
1276,7.0,67.5,4.1,4,Business,0
1277,4.1,95.4,6.5,7,Design,0
1278,3.2,94.5,6.2,9,AI,1
1279,9.0,79.5,6.4,10,Design,1
1280,6.7,85.6,6.5,6,Business,1
1281,7.2,57.9,6.8,3,Design,1
1282,1.6,70.4,7.6,4,AI,0
1283,8.3,79.1,5.2,1,Business,1
1284,7.1,71.3,5.1,10,Design,0
1285,3.2,89.1,5.2,9,AI,1
1286,4.8,100.0,6.8,9,AI,1
1287,6.7,70.2,8.0,3,AI,1
1288,6.1,73.6,6.0,3,Business,0
1289,5.3,84.4,3.5,9,AI,0
1290,5.7,98.1,4.5,5,Engineering,1
1291,5.4,69.8,5.5,7,Business,0
1292,,84.5,5.8,5,Engineering,1
1293,9.7,100.0,6.0,4,Engineering,1
1294,0.0,65.5,6.5,6,AI,0
1295,5.4,140.0,6.1,8,Design,1
1296,6.4,77.8,7.8,3,Engineering,1
1297,6.7,76.8,5.7,8,Design,1
1298,5.1,90.1,5.5,2,Business,0
1299,1.6,84.4,7.1,4,Business,1
1300,6.8,64.3,4.7,10,AI,0
1006,2.7,71.5,7.1,8,Engineering,1
1026,5.1,89.3,5.9,4,Business,1
1061,1.8,80.5,4.5,3,Engineering,0
